p,d,n,its,damp,from_temp,to_temp,steps
1,3,1000000,5000,0.2,6.2,8.0,10
1,4,1000000,5000,0.2,7.8,9.0,10
1,5,1000000,5000,0.2,7.05,9.0,10
1,6,1000000,5000,0.2,8.0,10.0,10
1,7,1000000,5000,0.2,8.0,10.0,10
1,8,1000000,5000,0.2,10.0,11.0,10
1,9,1000000,5000,0.2,8.5,10.0,10
1,10,1000000,5000,0.2,11.0,12.0,10
2,3,1000000,5000,0.2,9.5,11.5,10
2,4,1000000,5000,0.2,10.0,12.0,10
2,5,1000000,5000,0.2,9.0,11.0,10
2,6,1000000,5000,0.2,10.0,12.0,10
2,7,1000000,5000,0.2,9.0,11.0,10
2,8,1000000,5000,0.2,10.0,13.0,10
3,3,1000000,5000,0.2,12.2,13.5,10
3,4,1000000,5000,0.2,10.9,12.0,10
3,5,1000000,10000,0.2,7.6,9.0,10